Kapitel;Videotitel;Länge;Inhalt //TODO;Status;;;
1. Einführung;Einführung, Motivation und Ausblick;2;Vorstellung von mir, Aussicht.;FALSE;;;
;Wo bekomme ich Hilfe?;5;;FALSE;;;
;Was bedeutet objektorientierung?;5;;FALSE;;;
;Was ist Java? - Was ist eine Programmierpsrache?;10;;FALSE;;;
;;;;FALSE;;;
2. Setup;Java jdk installieren - Windows;2;;FALSE;;;
;Java jdk installieren - Mac;2;;FALSE;;;
;Eclipse installieren - Windows ;2;;FALSE;;;
;Eclipse installieren - Mac;2;;FALSE;;;
;;;;FALSE;;;
3. Erste Schritte;Hello World!;5;;FALSE;;;
;Was sind Klassen? Kurze Einführung;5;;FALSE;;;
;Was sind Datentypen?;10;;FALSE;;;
;Was sind Variablen?;15;;FALSE;;;
;Operatoren in Java;10;Operatoren in Java - Mathematische und logische Operatoren.;FALSE;;;
;;;;FALSE;;;
4. Kontrollstrukturen;Einführung ;5;;FALSE;;;
;For-Schleife & Beispielaufgabe;15;;FALSE;;;
;If-Statement & Beispielaufgabe;15;;FALSE;;;
;While-Schleife & Beispielaufgabe;15;;FALSE;;;
;Do-While Schleife & Beispielaufgabe;15;;FALSE;;;
;Switch-Statement & Beispielaufgabe;15;;FALSE;;;
;Ternärer Operator ?;10;;FALSE;;;
;Foreach-Schleife;5;;FALSE;;;
;;;;FALSE;;;
5. Methoden;Was ist eine Methode?;5;;FALSE;;;
;Aufbau einer Methode;20;Erklärung von Sytax, Parametern, Rückgabewerten, Beispielmethode;FALSE;;;
;Übungsaufgabe;15;;FALSE;;;
;Übungsaufgabe;;;FALSE;;;
;;;;FALSE;;;
6. Objektorientierung 1;Klassen und Objekte;15;;FALSE;;;
;Konstruktor & Beispiel;10;Erklärung des Konstruktors, super;FALSE;;;
;Vererbung - UML Diagram (Theorie);25;Vererbung erklärt und an UML Diagram erklärt;FALSE;;;
;Vererbung in der Praxis - Java;10;extends…;FALSE;;;
;Sichtbarkeiten in Java;15;Sichtbarkeiten, Getter und Setter;FALSE;;;
;Assoziationen - UML Diagram (Theorie);10;;FALSE;;;
;Assoziationen in der Praxis - Java;10;;FALSE;;;
;Static;5;;FALSE;;;
;Final;;;FALSE;;;
;Beispielaufgabe;15;;FALSE;;;
;Beispielaufgabe ;15;;FALSE;;;
;;;;FALSE;;;
10. Generics;Einführung und Motivation;10;;FALSE;;;
;Generics in Java;10;;FALSE;;;
;;;;FALSE;;;
7. Arrays;Einführung und Motivation;5;;FALSE;;;
;Arrays;15;Erklärung;FALSE;;;
;Beispielaufgabe;15;;FALSE;;;
;Beispielaufgabe;15;;FALSE;;;
;;;;FALSE;;;
8. Listen;Einführung und Motivation;5;;FALSE;;;
;ArrayList & Beispiel;15;;FALSE;;;
;LinkedList & Beispiel;15;;FALSE;;;
;.toArray Methode;5;;FALSE;;;
;Beispielaufgabe;15;;FALSE;;;
;Beispielaufgabe;15;;FALSE;;;
;;;;FALSE;;;
9. Set;Einführung und Motivation;5;;FALSE;;;
;HashSet;15;;FALSE;;;
;Beispielaufgabe;;;FALSE;;;
;Beispielaufgabe;;;FALSE;;;
;;;;FALSE;;;
10. Map ;Einführung und Motivation;5;;FALSE;;;
;Maps;15;;FALSE;;;
;Beispielaufgabe;15;;FALSE;;;
;;;;FALSE;;;
9. Objektorientierung 2;Abstrakte Klasse;5;;FALSE;;;
;Interface;6;;FALSE;;;
;Enum;6;;FALSE;;;
;Packages;10;;FALSE;;;
;;;;FALSE;;;
10. Sortieren;.sort-Methoden Einführung;10;;FALSE;;;
;Beispielaufgabe: Mergesort;15;;FALSE;;;
;Beispielaufgabe: Quicksort;10;;FALSE;;;
;Beispielaufgabe: Radixsort;10;;FALSE;;;
;;;;FALSE;;;
11. Streams;;;;FALSE;;;
;;;;FALSE;;;
12. In Dateien Schreiben;Filewriter ;15;;FALSE;;;
;Beispiel;;;FALSE;;;
;;;;FALSE;;;
13. Aus Dateien Lesen;InputStream;5;;FALSE;;;
;OutputStream;;;FALSE;;;
;;;;FALSE;;;
;;;;FALSE;;;
14. GUIs;Einführung und Motivation;10;;FALSE;;;
;Java Swing;10;;FALSE;;;
;JFrame und Layouts;20;;FALSE;;;
;JOptionPane;5;;FALSE;;;
;JFileChooser;5;;FALSE;;;
;Beispielaufgabe: Währungsumrechner;20;;FALSE;;;
;;;;FALSE;;;
15. Serverprogrammierung;Server-Seite ;10;;FALSE;;;
;Client-Seite;10;;FALSE;;;
;Beispielaufgabe;15;;FALSE;;;
;;;;FALSE;;;
16. Aufgaben;;;;FALSE;;;
;;;;FALSE;;;
17. Nächste Schritte;;;;FALSE;;;
